Protein,A1,A2,A3,A4,A5,A6,A7,A8,B9,B10,B11,B12,B13,B14,B15,B16
Tm9sf2,366170.125,448407.46875,368428.5,101889.4453125,351486.625,288395.71875,328710.375,285619.46875,516888.90625,495894.90625,348916.34375,554713.9375,484509.5625,541010.1875,375132.3125,409060.5625
Tm9sf3,362327.375,362530.03125,321366.21875,211744.84375,667345.0625,277105.3125,373890.15625,330837.5,460912.59375,517354.03125,307450.28125,575396.25,503683.625,535118.4375,402374.6875,411365.53125
Tm9sf4,315795.46875,415237.90625,276172.6875,468494.625,567994.8125,251500.734375,304847.875,277684.15625,471708.25,474939.75,347200.625,565953.25,383932.5,535181.5,340609.34375,380140.90625
Tmbim6,2894190.0,12614280.0,7622276.5,786794.1875,3265460.75,1154609.375,2586497.75,2133373.5,5841541.5,5094476.0,3882094.75,4483700.0,1676775.625,5350030.5,3727589.75,3525353.5
Tmc4,12567.486328125,30804.046875,0.0,36537.33203125,78175.1796875,0.0,36415.0625,19567.83984375,45896.03125,57866.9921875,37075.359375,46278.44921875,43957.84765625,65772.859375,53525.21484375,50844.0703125
Tmco1,106496.921875,315356.34375,155428.5,65359.69140625,173328.859375,58035.36328125,101178.5078125,77643.7734375,93493.90625,76562.9609375,43414.125,68401.625,65551.375,57644.125,67305.7890625,46670.3828125
Tmco5b,372103.34375,1733983.25,592876.8125,133113.734375,46343.91796875,16375.8115234375,72261.4765625,24564.1171875,138606.484375,52426.67578125,149188.6875,228310.015625,48992.19140625,151356.0,48254.48046875,133474.53125
Tmed1,43128.96875,40088.71875,43264.609375,25451.0859375,47906.046875,25564.16015625,42306.5,23166.888671875,43088.59375,64374.64453125,39564.96484375,64906.50390625,56909.93359375,58225.90234375,46251.515625,46408.11328125
Tmed10,534789.0625,688736.5,551301.1875,568198.1875,1079797.5,430262.71875,675074.125,570961.5625,939694.875,1230224.125,780230.5,961882.4375,1021318.3125,1123077.25,801761.625,738531.625
Tmed2,135541.515625,85782.3359375,171607.03125,10937.953125,8129.14404296875,71255.8515625,153029.46875,109018.65625,237708.703125,431859.6875,318561.71875,318897.125,441139.3125,341794.0,380864.78125,250429.484375
Tmed3,91577.671875,99081.9609375,92303.859375,57116.5234375,151462.578125,87185.6328125,100762.3125,80713.6328125,144928.03125,223990.109375,104980.3125,161598.265625,175788.125,191208.0,129882.4296875,116506.9765625
Tmed4,113856.5546875,167210.15625,78867.6484375,111544.5625,303670.90625,120590.609375,119914.6875,141501.3125,218335.96875,210991.046875,159660.15625,182625.328125,204085.796875,213363.171875,162383.59375,103362.1796875
Tmed5,27293.69140625,105300.984375,35111.703125,0.0,81407.5859375,28432.71875,50728.0703125,29735.900390625,55070.67578125,91224.5703125,61211.203125,92698.6015625,113620.5,90762.9140625,47786.484375,66098.5
Tmed8,28143.8125,0.0,0.0,0.0,20489.0625,25372.744140625,22272.2578125,47390.0078125,29018.279296875,0.0,0.0,46236.84765625,48116.23828125,42477.22265625,41374.078125,0.0
Tmed9,695348.75,744294.1875,470427.5625,313969.0625,983984.0625,582740.5,672092.25,658920.9375,890788.375,923970.875,689935.375,951386.0,909350.75,942634.75,624559.8125,557943.875
Tmem102,181759.0625,209877.609375,203306.203125,239498.59375,195068.703125,195462.59375,180148.453125,178021.125,191654.25,173474.96875,184034.4375,173106.875,142151.015625,152548.5,176216.640625,182099.359375
Tmem106b,42217.453125,28063.994140625,100533.140625,44077.53515625,58320.17578125,54819.7734375,57070.8125,68857.28125,28827.62109375,25229.0625,21289.376953125,33234.578125,50894.265625,23575.818359375,39195.8203125,59684.10546875
Tmem109,1695477.625,1789631.875,1545893.875,941244.375,2322051.25,1329798.25,1756668.625,1676492.25,1444507.375,1395610.0,1181199.75,1500663.375,1348843.75,993935.1875,1036384.3125,1408677.5
Tmem11,0.0,49608.53125,32565.51953125,23980.884765625,215532.640625,32760.630859375,77744.9296875,38759.51171875,42439.3671875,51738.40234375,28986.150390625,107059.0078125,34992.33203125,54599.9140625,18019.66796875,33060.35546875
Tmem115,0.0,88713.46875,0.0,14276.857421875,44582.58984375,17221.8125,20203.02734375,31677.900390625,23722.333984375,46249.6640625,8711.9287109375,30895.353515625,34607.390625,60953.65625,29191.708984375,0.0
Tmem129,0.0,0.0,0.0,0.0,12186.19140625,2987.98828125,6476.0625,4177.37109375,5802.90673828125,4158.80419921875,1426.25988769531,5439.078125,6561.41796875,5595.85302734375,0.0,0.0
Tmem143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14703.48828125,0.0,0.0,0.0,8714.4765625,0.0,0.0,0.0,0.0
Tmem163,8704.2490234375,6808.732421875,0.0,7303.86474609375,10941.98828125,8508.9228515625,13820.7509765625,10848.3984375,7245.58056640625,7467.54541015625,6601.7060546875,9027.3310546875,7754.3984375,7856.662109375,0.0,3509.39111328125
Tmem164,29222.693359375,22766.927734375,53477.38671875,1420.09265136718,12418.7138671875,16604.67578125,12686.234375,22366.611328125,9610.7158203125,11690.830078125,11875.5966796875,17265.365234375,10175.8974609375,18027.29296875,4445.35205078125,12730.14453125
Tmem165,168637.265625,234379.796875,164724.921875,179677.125,279919.0625,127573.5546875,146840.0625,114779.765625,180058.4375,147772.734375,105837.703125,196201.109375,140942.375,188975.484375,77189.015625,147401.140625
Tmem167a,277299.84375,379343.75,300613.84375,66744.59375,192319.703125,177541.078125,203231.109375,147710.671875,242483.34375,366361.78125,215947.40625,277400.5,302794.15625,318761.6875,267020.34375,209736.5
Tmem167b,139812.421875,163143.828125,110251.4453125,19546.115234375,112227.78125,107497.8515625,141078.671875,132030.078125,107149.5625,132938.9375,116055.484375,109236.359375,129780.90625,105503.8203125,137860.171875,126753.8046875
Tmem175,0.0,0.0,18572.671875,41641.234375,111325.1875,16473.10546875,47813.66015625,39804.45703125,31871.853515625,47310.4921875,25484.837890625,47460.7578125,62520.3828125,68275.203125,47331.41015625,58553.8671875
Tmem176a,0.0,0.0,0.0,0.0,20405.6171875,5765.19189453125,15828.240234375,10983.0830078125,25588.947265625,29963.154296875,21789.984375,21970.505859375,24283.564453125,22453.736328125,10310.619140625,22364.25390625
Tmem176b,106148.0078125,96576.84375,84345.6328125,66887.90625,196874.5625,49082.45703125,103415.53125,72441.390625,117994.5234375,98110.8984375,86468.6171875,132504.296875,114004.4921875,167004.890625,109881.8359375,101117.953125
Tmem19,29857.005859375,26700.759765625,32361.8125,0.0,114739.84375,15886.1044921875,63414.6171875,37153.3828125,42912.59375,65186.73828125,43305.44921875,62102.08984375,81019.0625,61170.8984375,48287.43359375,49882.0078125
Tmem205,264555.625,420475.65625,355489.3125,68826.4453125,720942.75,173977.03125,462007.84375,283309.84375,130701.7421875,198742.765625,127918.7109375,172867.140625,190852.984375,195023.125,123561.2265625,125207.9609375
Tmem214,37950.30078125,192526.15625,51549.69921875,113835.9296875,92741.0546875,46124.734375,75016.3671875,52865.40234375,73850.15625,61550.0703125,51644.2578125,60352.61328125,79577.6875,67556.140625,62290.71875,64653.671875
Tmem220,232445.296875,158215.71875,66360.8046875,0.0,0.0,0.0,50528.4765625,0.0,69630.09375,57415.97265625,43948.2109375,44279.58984375,90847.609375,29663.587890625,41528.2421875,24133.662109375
Tmem222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66887.390625,0.0,53572.1484375,52576.2265625,72709.015625,45726.125,18510.55859375
Tmem230,120790.59375,363766.90625,209744.703125,149997.15625,375786.75,0.0,147835.78125,93731.4296875,82419.7734375,73042.34375,0.0,87701.5625,27646.322265625,135821.078125,58924.55078125,90447.65625
Tmem231,41735.234375,28269.62890625,30984.970703125,11052.486328125,74620.3984375,21125.4765625,39507.26171875,31864.431640625,31141.521484375,51050.00390625,27457.48828125,52581.6640625,50693.55078125,58261.63671875,47014.85546875,46935.7421875
Tmem254,166486.890625,0.0,194978.78125,225925.46875,310462.5,104647.6328125,207029.875,159885.34375,150524.1875,159015.28125,68351.5,140558.953125,166304.640625,115915.1171875,172438.703125,82771.15625
Tmem256,0.0,89932.7265625,282363.3125,0.0,138979.828125,124903.4453125,99479.1171875,136552.546875,150591.78125,297864.875,241145.484375,321611.09375,237119.390625,223889.953125,157049.46875,177206.8125
Tmem258,0.0,0.0,0.0,29014.46484375,56929.25390625,26370.390625,101871.5625,53567.79296875,52274.2265625,87750.8359375,84710.2734375,61050.953125,150614.640625,50047.671875,51208.55078125,84774.8046875
Tmem259,11654.892578125,0.0,0.0,5739.00927734375,51311.2734375,2171.9541015625,17858.03515625,11003.99609375,16569.03125,0.0,0.0,12840.4443359375,21241.763671875,0.0,5508.9619140625,0.0
Tmem30a,190581.234375,215485.234375,296080.625,399652.125,374958.25,169414.21875,296950.1875,282815.0625,209008.578125,194824.328125,172991.765625,306475.34375,358579.0,357164.25,198502.21875,257009.578125
Tmem33,387978.8125,506799.8125,384952.34375,229886.34375,648484.0625,425135.71875,517181.65625,451732.90625,582958.9375,792856.6875,384219.28125,655229.0625,693549.0625,645712.625,600592.8125,553634.875
Tmem38b,120304.2265625,0.0,100793.4921875,0.0,40241.1875,0.0,17957.873046875,60037.68359375,57165.35546875,70916.9765625,29904.50390625,51386.75390625,44269.60546875,75198.8671875,38623.0546875,32332.50390625
Tmem41b,0.0,0.0,0.0,6779.462890625,12202.5615234375,0.0,2740.2607421875,0.0,2618.35498046875,0.0,0.0,1381.97729492187,0.0,0.0,0.0,0.0
Tmem43,195875.265625,383891.09375,187241.75,244095.578125,610606.5625,242893.5625,361700.03125,262761.25,350339.28125,416097.4375,265663.5,404486.125,389367.625,477310.40625,225669.1875,288646.125
Tmem50b,273701.6875,207200.609375,241690.640625,0.0,0.0,64234.515625,62457.9296875,53627.1953125,24429.166015625,17781.66796875,24058.0859375,46320.68359375,37578.171875,31387.287109375,17277.8671875,40962.96484375
Tmem53,20202.580078125,0.0,12275.8603515625,0.0,0.0,0.0,11241.5302734375,0.0,11571.1708984375,26090.9921875,6462.4521484375,15981.80859375,14332.701171875,16084.298828125,14772.9345703125,11820.509765625
Tmem59,34240.53125,64057.7265625,0.0,0.0,103368.8046875,29915.30078125,69819.4609375,44047.92578125,40656.6953125,42841.6953125,34153.34375,46468.51171875,51689.40234375,52436.3046875,46477.8203125,50789.125
Tmem63a,40684.265625,84924.75,77571.28125,72860.328125,147615.75,51699.0,97934.234375,56732.92578125,97284.5703125,0.0,0.0,117198.421875,90116.9921875,136879.109375,61397.02734375,137170.46875
Tmem68,0.0,22437.2890625,0.0,0.0,0.0,0.0,0.0,0.0,7915.82666015625,2767.81005859375,4007.77514648437,0.0,14396.4833984375,0.0,0.0,10001.8623046875
